Ensign Energy Services Inc.,ESI,Diversified Industries
Equitable Group Inc.,EQB,Oil & Gas
Evertz Technologies Limited,ET,Technology
Exchange Income Corporation,EIF,Diversified Industries
Extendicare Inc.,EXE,Financial Services
Fairfax Financial Holdings Limited,FFH,Technology
Finning International Inc.,FTT,Financial Services
First Capital Realty Inc.,FCR,Real Estate
First Majestic Silver Corp.,FR,Financial Services
First National Financial Corporation,FN,Diversified Industries
First Quantum Minerals Ltd.,FM,Real Estate
FirstService Corporation,FSV,Mining
Fortis Inc.,FTS,Financial Services
Fortuna Silver Mines Inc.,FVI,Mining
Franco-Nevada Corporation,FNV,Real Estate
Freehold Royalties Ltd.,FRU,Utilities & Pipelines
Gazit-Globe Ltd.,GZT,Mining
General Motors Company,GMM.U,Mining
Genworth MI Canada Inc.,MIC,Oil & Gas
George Weston Limited,WN,Real Estate
Gibson Energy Inc.,GEI,Diversified Industries
Gildan Activewear Inc.,GIL,Financial Services
Goldcorp Inc.,G,Diversified Industries
Gran Tierra Energy Inc.,GTE,Diversified Industries
Granite Real Estate Investment Trust,GRT.UN,Diversified Industries
Great Canadian Gaming Corporation,GC,Mining
Great-West Lifeco Inc.,GWO,Oil & Gas
H&R Real Estate Investment Trust,HR.UN,Real Estate
Home Capital Group Inc.,HCG,Diversified Industries
HudBay Minerals Inc.,HBM,Financial Services
Hudson's Bay Company,HBC,Real Estate
Husky Energy Inc.,HSE,Financial Services
Hydro One Limited,H,Mining
IAMGold Corporation,IMG,Diversified Industries
IGM Financial Inc.,IGM,Oil & Gas
Imperial Oil Limited,IMO,Utilities & Pipelines
Industrial Alliance Insurance and Financial Services Inc.,IAG,Mining
Innergex Renewable Energy Inc.,INE,Financial Services
Intact Financial Corporation,IFC,Oil & Gas
Inter Pipeline Ltd.,IPL,Financial Services
Interfor Corporation,IFP,Clean Technology
Intertape Polymer Group Inc.,ITP,Financial Services
iShares 1-5 Year Laddered Corporate Bond Index ETF,CBO,Utilities & Pipelines
iShares 1-5 Year Laddered Government Bond Index ETF,CLF,Forest Products & Paper
iShares Canadian Corporate Bond Index ETF,XCB,Diversified Industries
iShares Canadian Select Dividend Index ETF,XDV,ETP
iShares Canadian Short Term Bond Index ETF,XSB,ETP
iShares Canadian Universe Bond Index ETF,XBB,ETP
iShares Core S&P 500 Index ETF (CAD-Hedged),XSP,ETP
iShares Core S&P/TSX Capped Composite Index ETF,XIC,ETP
iShares MSCI EAFE Index ETF (CAD-Hedged),XIN,ETP
iShares S&P/TSX 60 Index ETF,XIU,ETP
iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,CDZ,ETP
iShares S&P/TSX Canadian Preferred Share Index ETF,CPD,ETP
iShares S&P/TSX Capped Energy Index ETF,XEG,ETP
iShares S&P/TSX Capped Financials Index ETF,XFN,ETP
iShares S&P/TSX Capped REIT Index ETF,XRE,ETP
Ivanhoe Mines Ltd.,IVN,ETP
Jean Coutu Group (PJC) Inc. (The),PJC.A,ETP
Just Energy Group Inc.,JE,ETP
Kelt Exploration Ltd.,KEL,Mining
Keyera Corp.,KEY,Diversified Industries
Kinaxis Inc.,KXS,Diversified Industries
Kinross Gold Corporation,K,Oil & Gas
Knight Therapeutics Inc.,GUD,Utilities & Pipelines
Labrador Iron Ore Royalty Corporation,LIF,Technology
Laurentian Bank Of Canada,LB,Mining
Leon's Furniture Limited,LNF,Life Sciences
Linamar Corporation,LNR,Financial Services
Loblaw Companies Limited,L,Financial Services
Lucara Diamond Corp.,LUC,Diversified Industries
Lundin Mining Corporation,LUN,Diversified Industries
"MacDonald, Dettwiler and Associates Ltd.",MDA,Diversified Industries
MAG Silver Corp.,MAG,Mining
Magellan Aerospace Corporation,MAL,Mining
Magna International Inc.,MG,Technology
Manitoba Telecom Services Inc.,MBT,Mining
Manulife Financial Corporation,MFC,Diversified Industries
Maple Leaf Foods Inc.,MFI,Diversified Industries
McEwen Mining Inc.,MUX,Comm & Media
MEG Energy Corp.,MEG,Financial Services
Methanex Corporation,MX,Diversified Industries
Metro Inc.,MRU,Mining
Milestone Apartments Real Estate Investment Trust,MST.UN,Oil & Gas
Mitel Networks Corporation,MNW,Diversified Industries
Molson Coors Canada Inc.,TPX.B,Diversified Industries
Morguard Corporation,MRC,Real Estate
Morguard Real Estate Investment Trust,MRT.UN,Technology
Morneau Shepell Inc.,MSI,Diversified Industries
Mountain Province Diamonds Inc.,MPV,Real Estate
MTY Food Group Inc.,MTY,Real Estate
Mullen Group Ltd.,MTL,Diversified Industries
National Bank of Canada,NA,Mining
Nevsun Resources Ltd.,NSU,Diversified Industries
New Flyer Industries Inc.,NFI,Diversified Industries
New Gold Inc.,NGD,Financial Services
Norbord Inc.,OSB,Mining
North West Company Inc.,NWC,Clean Technology
Northland Power Inc.,NPI,Mining
Novagold Resources Inc.,NG,Forest Products & Paper
NuVista Energy Ltd.,NVA,Diversified Industries
OceanaGold Corporation,OGC,Clean Technology
ONEX Corporation,ONEX,Mining
Open Text Corporation,OTC,Oil & Gas
Osisko Gold Royalties Ltd.,OR,Mining
Pacific Exploration & Production Corporation,PEN,Financial Services
Pan American Silver Corp.,PAA,Technology
Paramount Resources Ltd.,POU,Mining
Parex Resources Inc.,PXT,Oil & Gas
Parkland Fuel Corporation,PKI,Mining
Pason Systems Inc.,PSI,Oil & Gas
Pattern Energy Group Inc.,PEG,Oil & Gas
Pembina Pipeline Corporation,PPL,Diversified Industries
Pengrowth Energy Corporation,PGF,Diversified Industries
Penn West Petroleum Ltd.,PWT,Clean Technology
Peyto Exploration & Development Corp.,PEY,Utilities & Pipelines
Potash Corporation of Saskatchewan Inc.,POT,Oil & Gas
Power Corporation Of Canada,POW,Oil & Gas
Power Financial Corporation,PWF,Oil & Gas
PrairieSky Royalty Ltd.,PSK,Mining
Precision Drilling Corporation,PD,Financial Services
Premium Brands Holdings Corporation,PBH,Financial Services
Pretium Resources Inc.,PVG,Oil & Gas
ProMetic Life Sciences Inc.,PLI,Diversified Industries
Pure Industrial Real Estate Trust,AAR.UN,Diversified Industries
Quebecor Inc.,QBR.B,Mining
Raging River Exploration Inc.,RRX,Life Sciences
Restaurant Brands International Inc.,QSR,Real Estate
Restaurant Brands International Limited Partnership,QSP.UN,Diversified Industries
Richelieu Hardware Ltd.,RCH,Oil & Gas
Riocan Real Estate Investment Trust,REI.UN,Diversified Industries
Ritchie Bros. Auctioneers Incorporated,RBA,Diversified Industries
Rogers Communications Inc.,RCI.B,Diversified Industries
Royal Bank of Canada,RY,Real Estate
Russel Metals Inc.,RUS,Diversified Industries
Saputo Inc.,SAP,Comm & Media
Secure Energy Services Inc.,SES,Financial Services
Semafo Inc.,SMF,Diversified Industries
Seven Generations Energy Ltd.,VII,Diversified Industries
Shaw Communications Inc.,SJR.B,Diversified Industries
ShawCor Ltd.,SCL,Mining
Shopify Inc.,SHOP,Oil & Gas
Silver Standard Resources Inc.,SSO,Comm & Media
Silver Wheaton Corp.,SLW,Diversified Industries
Sleep Country Canada Holdings Inc.,ZZZ,Technology
Smart Real Estate Investment Trust,SRU.UN,Mining
SNC-Lavalin Group Inc.,SNC,Mining
Spartan Energy Corp.,SPE,Diversified Industries
Sprott Physical Gold Trust,PHY.U,Real Estate
Stantec Inc.,STN,Diversified Industries
Stella-Jones Inc.,SJ,Oil & Gas
Sun Life Financial Inc.,SLF,Closed-End Funds
Suncor Energy Inc.,SU,Diversified Industries
Superior Plus Corp.,SPB,Forest Products & Paper
Tahoe Resources Inc.,THO,Financial Services
Teck Resources Limited,TCK.B,Oil & Gas
TELUS Corporation,T,Utilities & Pipelines
Thomson Reuters Corporation,TRI,Mining
TMAC Resources Inc.,TMR,Mining
TMX Group Limited,X,Comm & Media
TORC Oil & Gas Ltd.,TOG,Comm & Media
Torex Gold Resources Inc.,TXG,Mining
Toromont Industries Ltd.,TIH,Financial Services
Toronto-Dominion Bank (The),TD,Oil & Gas
Tourmaline Oil Corp.,TOU,Mining
TransAlta Corporation,TA,Diversified Industries
TransAlta Renewables Inc.,RNW,Financial Services
TransCanada Corporation,TRP,Oil & Gas
Transcontinental Inc.,TCL.A,Utilities & Pipelines
TransForce Inc.,TFI,Clean Technology
Tricon Capital Group Inc.,TCN,Utilities & Pipelines
Turquoise Hill Resources Ltd.,TRQ,Comm & Media
Uni-Select Inc.,UNS,Diversified Industries
United Corporations Limited,UNC,Financial Services
Valeant Pharmaceuticals International Inc.,VRX,Mining
Vanguard Canadian Aggregate Bond Index ETF,VAB,Diversified Industries
Veresen Inc.,VSN,Financial Services
Vermilion Energy Inc.,VET,Life Sciences
"Waste Connections, Inc.",WCN,ETP
West Fraser Timber Co. Ltd.,WFT,Utilities & Pipelines
WestJet Airlines Ltd.,WJA,Oil & Gas
Westshore Terminals Investment Corporation,WTE,Diversified Industries
Whitecap Resources Inc.,WCP,Forest Products & Paper
Winpak Ltd.,WPK,Diversified Industries
WSP Global Inc.,WSP,Diversified Industries
Yamana Gold Inc.,YRI,Oil & Gas
,,Forest Products & Paper
,,Diversified Industries
,,Mining
